sample_id,task_id,domain,condition,total_tokens,model_tag,AS_private,AS_public,AS_ratio,AE,AE_norm,LP_private,AS_WHAT,AS_WHY,AS_WHO,AS_WHEN,AS_WHERE,AS_HOW_TO_DO,AS_HOW_MUCH,AS_HOW_FEEL
BZ01__FULL__open_weight_qwen_main,BZ01,business,FULL,217,gemma3_4b,0.1014,0.0743,1.3639,2.6535,0.8845,0.4569,0.3258,0.0674,0.0574,0.0731,0.042,0.0743,0.1453,0.2147
BZ01__PRIV-ABSENT__open_weight_qwen_main,BZ01,business,PRIV-ABSENT,198,gemma3_4b,0.0649,0.094,0.6901,2.4188,0.8616,0.3161,0.3933,0.0799,0.0649,0.0855,0.056,0.094,0.0,0.2264
BZ01__PUB-ABSENT__open_weight_qwen_main,BZ01,business,PUB-ABSENT,180,gemma3_4b,0.1104,0.0,,2.4643,0.8778,0.4484,0.3479,0.0719,0.0591,0.0785,0.0512,0.0,0.1618,0.2296
BZ02__FULL__open_weight_qwen_main,BZ02,business,FULL,225,gemma3_4b,0.1155,0.0978,1.1804,2.5098,0.894,0.434,0.0,0.0926,0.108,0.092,0.084,0.0978,0.1229,0.4026
BZ02__PRIV-ABSENT__open_weight_qwen_main,BZ02,business,PRIV-ABSENT,189,gemma3_4b,0.1316,0.1022,1.288,2.3397,0.9051,0.337,0.0,0.0967,0.0,0.0939,0.1777,0.1022,0.1316,0.3979
BZ02__PUB-ABSENT__open_weight_qwen_main,BZ02,business,PUB-ABSENT,186,gemma3_4b,0.1241,0.0,,2.3066,0.8923,0.4108,0.0,0.1079,0.1186,0.1047,0.109,0.0,0.1297,0.4301
BZ05__FULL__open_weight_qwen_main,BZ05,business,FULL,213,gemma3_4b,0.1688,0.1091,1.5477,2.5617,0.9125,0.4575,0.0,0.0798,0.1094,0.0836,0.0667,0.1091,0.2282,0.3234
BZ05__PRIV-ABSENT__open_weight_qwen_main,BZ05,business,PRIV-ABSENT,194,gemma3_4b,0.1406,0.156,0.9012,2.3626,0.914,0.3541,0.0,0.0998,0.1406,0.1116,0.0998,0.156,0.0,0.3921
BZ05__PUB-ABSENT__open_weight_qwen_main,BZ05,business,PUB-ABSENT,181,gemma3_4b,0.1862,0.0,,2.3416,0.9058,0.4508,0.0,0.088,0.1208,0.0984,0.0859,0.0,0.2516,0.3553
BZ09__FULL__open_weight_qwen_main,BZ09,business,FULL,234,gemma3_4b,0.0686,0.0595,1.1532,2.4579,0.8193,0.3715,0.4307,0.0635,0.0465,0.0734,0.0387,0.0595,0.0906,0.1971
BZ09__PRIV-ABSENT__open_weight_qwen_main,BZ09,business,PRIV-ABSENT,207,gemma3_4b,0.1008,0.0639,1.5782,2.3889,0.8509,0.2919,0.4116,0.0699,0.0,0.0938,0.0486,0.0639,0.1008,0.2115
BZ09__PUB-ABSENT__open_weight_qwen_main,BZ09,business,PUB-ABSENT,193,gemma3_4b,0.0753,0.0,,2.3176,0.8255,0.3385,0.4415,0.0727,0.0498,0.0789,0.0489,0.0,0.1009,0.2073
TC01__FULL__open_weight_qwen_main,TC01,technical,FULL,211,gemma3_4b,0.0902,0.0524,1.7206,2.424,0.808,0.3431,0.4225,0.0574,0.0507,0.0412,0.0375,0.0524,0.1298,0.2086
TC01__PRIV-ABSENT__open_weight_qwen_main,TC01,technical,PRIV-ABSENT,194,gemma3_4b,0.0584,0.0671,0.8704,2.208,0.7865,0.2534,0.4644,0.0692,0.0584,0.0508,0.049,0.0671,0.0,0.241
TC01__PUB-ABSENT__open_weight_qwen_main,TC01,technical,PUB-ABSENT,171,gemma3_4b,0.0943,0.0,,2.2986,0.8188,0.3635,0.4378,0.0645,0.0561,0.0477,0.0515,0.0,0.1325,0.21
TC02__FULL__open_weight_qwen_main,TC02,technical,FULL,220,gemma3_4b,0.0798,0.1119,0.7132,2.6228,0.8743,0.3097,0.2829,0.068,0.0548,0.0598,0.0324,0.1119,0.1048,0.2855
TC02__PRIV-ABSENT__open_weight_qwen_main,TC02,technical,PRIV-ABSENT,188,gemma3_4b,0.1044,0.1039,1.0044,2.4426,0.8701,0.1828,0.3144,0.0733,0.0,0.0706,0.0356,0.1039,0.1044,0.2978
TC02__PUB-ABSENT__open_weight_qwen_main,TC02,technical,PUB-ABSENT,182,gemma3_4b,0.0983,0.0,,2.4321,0.8663,0.3592,0.3216,0.0797,0.0627,0.0695,0.0414,0.0,0.134,0.291
TC08__FULL__open_weight_qwen_main,TC08,technical,FULL,223,gemma3_4b,0.0932,0.1502,0.6201,2.4923,0.8878,0.3194,0.0,0.0937,0.0991,0.0816,0.0842,0.1502,0.0872,0.4039
