sample_id,task_id,domain,condition,total_tokens,model_tag,AS_private,AS_public,AS_ratio,AE,AE_norm,LP_private,AS_WHAT,AS_WHY,AS_WHO,AS_WHEN,AS_WHERE,AS_HOW_TO_DO,AS_HOW_MUCH,AS_HOW_FEEL
BZ01__FULL__open_weight_qwen_main,BZ01,business,FULL,323,ministral8b,0.0541,0.0305,1.7737,1.7053,0.5684,0.3597,0.692,0.0269,0.0381,0.0319,0.0252,0.0305,0.0702,0.0853
BZ01__PRIV-ABSENT__open_weight_qwen_main,BZ01,business,PRIV-ABSENT,301,ministral8b,0.0421,0.0393,1.0719,1.5176,0.5406,0.5189,0.7273,0.0319,0.0421,0.0387,0.0309,0.0393,0.0,0.0897
BZ01__PUB-ABSENT__open_weight_qwen_main,BZ01,business,PUB-ABSENT,274,ministral8b,0.0571,0.0,,1.6182,0.5764,0.3967,0.6993,0.0304,0.0419,0.0361,0.0307,0.0,0.0724,0.0893
BZ02__FULL__open_weight_qwen_main,BZ02,business,FULL,325,ministral8b,0.1274,0.1001,1.273,2.728,0.9717,0.2076,0.0,0.0765,0.1222,0.1855,0.1562,0.1001,0.1326,0.2269
BZ02__PRIV-ABSENT__open_weight_qwen_main,BZ02,business,PRIV-ABSENT,268,ministral8b,0.144,0.1562,0.9222,2.5296,0.9786,0.1817,0.0,0.0875,0.0,0.2054,0.1837,0.1562,0.144,0.2232
BZ02__PUB-ABSENT__open_weight_qwen_main,BZ02,business,PUB-ABSENT,264,ministral8b,0.1354,0.0,,2.5127,0.972,0.2882,0.0,0.0891,0.1311,0.2059,0.1886,0.0,0.1397,0.2455
BZ05__FULL__open_weight_qwen_main,BZ05,business,FULL,312,ministral8b,0.1999,0.1201,1.6638,2.6675,0.9502,0.3446,0.0,0.0918,0.1293,0.088,0.0882,0.1201,0.2704,0.2121
BZ05__PRIV-ABSENT__open_weight_qwen_main,BZ05,business,PRIV-ABSENT,290,ministral8b,0.1773,0.1836,0.9656,2.5194,0.9746,0.3863,0.0,0.1218,0.1773,0.1267,0.1226,0.1836,0.0,0.268
BZ05__PUB-ABSENT__open_weight_qwen_main,BZ05,business,PUB-ABSENT,260,ministral8b,0.2157,0.0,,2.4456,0.9461,0.3361,0.0,0.1032,0.1494,0.1067,0.1011,0.0,0.282,0.2577
BZ09__FULL__open_weight_qwen_main,BZ09,business,FULL,340,ministral8b,0.0385,0.031,1.2414,1.4726,0.4909,0.4459,0.7568,0.0225,0.0368,0.0289,0.0321,0.031,0.0402,0.0518
BZ09__PRIV-ABSENT__open_weight_qwen_main,BZ09,business,PRIV-ABSENT,299,ministral8b,0.0452,0.0391,1.1555,1.4526,0.5174,0.3745,0.7493,0.0301,0.0,0.0478,0.0332,0.0391,0.0452,0.0552
BZ09__PUB-ABSENT__open_weight_qwen_main,BZ09,business,PUB-ABSENT,276,ministral8b,0.0418,0.0,,1.3979,0.498,0.4551,0.7621,0.0271,0.0408,0.0331,0.0383,0.0,0.0427,0.0559
TC01__FULL__open_weight_qwen_main,TC01,technical,FULL,316,ministral8b,0.0416,0.0212,1.9601,1.5584,0.5195,0.3034,0.7229,0.0288,0.0212,0.0329,0.0194,0.0212,0.0621,0.0915
TC01__PRIV-ABSENT__open_weight_qwen_main,TC01,technical,PRIV-ABSENT,297,ministral8b,0.0246,0.0266,0.9256,1.3551,0.4827,0.3239,0.7597,0.0302,0.0246,0.036,0.0234,0.0266,0.0,0.0995
